id,Polarity
aa24173d,Neutral
79cdded5,Neutral
26fe7471,Neutral
d7d87d07,Neutral
c4852036,Neutral
5b9c12ba,Neutral
ebf7bff7,Neutral
e0479405,Neutral
cd0d8bcb,Neutral
02802aa0,Neutral
a122a538,Neutral
636c8da5,Neutral
66d69741,Neutral
dd512ee1,Positive
7021cc42,Positive
57e78bb3,Neutral
c9029b30,Neutral
97af720a,Neutral
bc9887eb,Negative
ad9d4385,Neutral
322ccc8e,Neutral
276168df,Positive
08398146,Neutral
5b13b74a,Neutral
977bf140,Negative
e0fd7776,Negative
fecab36b,Neutral
5ea3e4b5,Neutral
b2bde016,Neutral
1aee328a,Positive
14348bf2,Positive
89edc0c0,Neutral
c221d218,Neutral
bb0ee4ad,Neutral
91d997d0,Positive
74acadab,Neutral
3b5f1919,Neutral
67ae6b97,Neutral
fffdbad5,Neutral
382ae472,Neutral
09c0f4cc,Neutral
62f967e5,Neutral
5a533794,Positive
3afeed02,Neutral
a5b1da99,Neutral
41de1a3a,Neutral
8b973b98,Neutral
484c36cf,Neutral
51df160e,Neutral
1d485d6c,Neutral
f053e6cc,Neutral
13581e4b,Neutral
94687a81,Positive
31cb55fc,Positive
4e803396,Neutral
9046f222,Neutral
5df2d140,Neutral
c2d98689,Neutral
f067a08b,Neutral
b9a01810,Neutral
5d65492b,Positive
cfe6a260,Neutral
c3606126,Neutral
1c39c352,Neutral
e859476c,Neutral
5e516305,Neutral
23303f58,Positive
5bc13938,Neutral
b492b317,Neutral
a15c2475,Neutral
a8676233,Positive
2ddfa69e,Neutral
c5343fa0,Neutral
cee9b0a5,Neutral
12d82762,Neutral
c1cad5a6,Neutral
dcc02374,Neutral
6eb6eb37,Neutral
d644c5df,Neutral
88ab0d02,Neutral
b54f1ea0,Neutral
a1be2bde,Neutral
8a67463b,Neutral
388deca6,Neutral
8d4d51db,Neutral
781bcd66,Positive
9e8d6baf,Neutral
88f58b8e,Neutral
73cfc4bc,Neutral
2687f611,Neutral
39da2e0e,Neutral
5b4878db,Neutral
8675ca7f,Positive
b8d95b79,Neutral
6fd7ddac,Positive
737f222e,Neutral
8f9d73cf,Neutral
be694b7a,Neutral
2b20ff68,Positive
49d77cad,Neutral
2c56e5a7,Neutral
21813244,Neutral
e703f7b2,Neutral
142c2785,Neutral
0dc07c46,Positive
884da2b9,Neutral
020ee260,Neutral
ddc5f491,Neutral
a7ca41f5,Neutral
6d1bd293,Neutral
1e08c5da,Neutral
499c2998,Neutral
6f30beca,Neutral
e1400a58,Neutral
88c29066,Neutral
ea75493e,Neutral
5a311adf,Neutral
c142d964,Neutral
f06072a2,Neutral
56479676,Neutral
a195dce5,Neutral
dc3d7492,Neutral
2b4d6440,Neutral
9e1cd421,Positive
9cd8b232,Neutral
3c78bdb5,Neutral
58685dd8,Neutral
bec01c4b,Neutral
d6e65407,Neutral
7fa82da8,Neutral
18c31f78,Neutral
efa87161,Neutral
5f5fc452,Neutral
26c47161,Neutral
65523214,Neutral
ae3d7191,Neutral
5922c3b4,Positive
65da3719,Neutral
47d440ff,Neutral
49a24842,Neutral
7cc88b8f,Neutral
ee59a530,Neutral
4e3bdec7,Neutral
a9ad7a20,Neutral
16466a71,Neutral
306e4bc2,Neutral
ec9c201d,Neutral
9b223a85,Neutral
4f6bbcb5,Neutral
b7cf2bde,Neutral
3beadb3a,Neutral
78c69e51,Neutral
c8cda282,Neutral
162b825f,Neutral
8ccef7aa,Neutral
f37ab223,Positive
42d8ce05,Neutral
2fb93730,Neutral
97e7b943,Neutral
1491c900,Neutral
7178e29d,Neutral
449cf710,Neutral
6213b397,Neutral
dd2c2a33,Neutral
bf4b2c38,Neutral
dec03842,Positive
fce60e59,Neutral
a3798203,Neutral
e71a115b,Neutral
1a938e84,Positive
7bd204cc,Neutral
85a506e1,Neutral
e68db2a9,Neutral
2ccfd252,Neutral
f3d189cf,Neutral
96ef2a30,Positive
eb2cb9f4,Neutral
